Bait	Prey	PreyGene	Spec	SpecSum	AvgSpec	NumReplicates	ctrlCounts	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	logOddsScore	FoldChange	BFDR
ORF7A-A549-Nt	NP_060255.3	SPDL1	32	32	32.00	1	18|16|0	0.00	0.00	0.00	0.00	0.00	-14.90	1.88	0.35
ORF7A-A549-Nt	NP_060259.4	SEMA4C	10	10	10.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	16.80	100.00	0.00
ORF7A-A549-Nt	NP_060321.3	PARP16	21	21	21.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	33.26	210.00	0.00
ORF7A-A549-Nt	NP_060377.1	LAMTOR1	4	4	4.00	1	9|12|0	0.00	0.00	0.00	0.00	0.00	-33.78	0.38	0.54
ORF7A-A549-Nt	NP_060389.2	STX17	3	3	3.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	5.44	30.00	0.00
ORF7A-A549-Nt	NP_060391.2	NPLOC4	11	11	11.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	18.36	110.00	0.00
ORF7A-A549-Nt	NP_060395.5	DENND4C	15	15	15.00	1	25|16|0	0.00	0.00	0.00	0.00	0.00	-51.38	0.73	0.49
ORF7A-A549-Nt	NP_060458.3	SCYL2	7	7	7.00	1	19|18|0	0.00	0.00	0.00	0.00	0.00	-59.57	0.38	0.54
ORF7A-A549-Nt	NP_060495.2	GPATCH1	55	55	55.00	1	63|70|0	0.00	0.00	0.00	0.00	0.00	-155.97	0.83	0.53
ORF7A-A549-Nt	NP_060506.5	ATG2B	7	7	7.00	1	15|7|0	0.00	0.00	0.00	0.00	0.00	-29.25	0.64	0.54
ORF7A-A549-Nt	NP_060530.3	IARS2	40	40	40.00	1	6|9|0	1.00	1.00	1.00	1.00	1.00	23.13	5.33	0.00
ORF7A-A549-Nt	NP_060533.2	HELLS	111	111	111.00	1	118|125|0	0.00	0.00	0.00	0.00	0.00	-268.07	0.91	0.54
ORF7A-A549-Nt	NP_060582.1	TMEM38B	5	5	5.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	8.87	50.00	0.00
ORF7A-A549-Nt	NP_060700.2	NUP133	30	30	30.00	1	8|9|0	1.00	1.00	1.00	1.00	1.00	9.72	3.53	0.00
ORF7A-A549-Nt	NP_060736.1	TMEM39A	4	4	4.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	7.18	40.00	0.00
ORF7A-A549-Nt	NP_060738.2	WDR41	2	2	2.00	1	0|0|0	0.97	0.97	0.97	0.97	0.97	3.59	20.00	0.00
ORF7A-A549-Nt	NP_060774.2	PRR11	30	30	30.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	46.43	300.00	0.00
ORF7A-A549-Nt	NP_060790.2	RNF121	8	8	8.00	1	4|4|0	0.04	0.04	0.04	0.04	0.04	-3.21	2.00	0.12
ORF7A-A549-Nt	NP_060828.2	ABCF3	3	3	3.00	1	9|8|0	0.00	0.00	0.00	0.00	0.00	-27.90	0.35	0.54
ORF7A-A549-Nt	NP_060855.2	LSG1	80	80	80.00	1	10|10|0	1.00	1.00	1.00	1.00	1.00	61.10	8.00	0.00
ORF7A-A549-Nt	NP_060915.2	SELENOS	8	8	8.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	13.69	80.00	0.00
ORF7A-A549-Nt	NP_060919.2	UBAP2	10	10	10.00	1	23|22|0	0.00	0.00	0.00	0.00	0.00	-69.10	0.44	0.54
ORF7A-A549-Nt	NP_060934.1	CISD1	5	5	5.00	1	0|2|0	0.86	0.86	0.86	0.86	0.86	1.79	5.00	0.01
ORF7A-A549-Nt	NP_060937.1	USE1	35	35	35.00	1	6|8|0	1.00	1.00	1.00	1.00	1.00	19.14	5.00	0.00
ORF7A-A549-Nt	NP_060939.3	TEX2	31	31	31.00	1	2|0|0	1.00	1.00	1.00	1.00	1.00	17.36	31.00	0.00
ORF7A-A549-Nt	NP_060941.2	ZC3H15	5	5	5.00	1	10|10|0	0.00	0.00	0.00	0.00	0.00	-29.61	0.50	0.54
ORF7A-A549-Nt	NP_060960.2	LGR4	27	27	27.00	1	2|0|0	1.00	1.00	1.00	1.00	1.00	15.20	27.00	0.00
ORF7A-A549-Nt	NP_060979.2	LRRC59	28	28	28.00	1	3|3|0	1.00	1.00	1.00	1.00	1.00	23.43	9.33	0.00
ORF7A-A549-Nt	NP_061138.3	VPS33B	4	4	4.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	7.18	40.00	0.00
ORF7A-A549-Nt	NP_061161.2	FAM114A2	34	34	34.00	1	17|19|0	0.00	0.00	0.00	0.00	0.00	-15.59	1.89	0.35
ORF7A-A549-Nt	NP_061184.1	COG1	10	10	10.00	1	34|35|0	0.00	0.00	0.00	0.00	0.00	-118.63	0.29	0.54
ORF7A-A549-Nt	NP_061849.2	SLC38A2	3	3	3.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	5.45	30.00	0.00
ORF7A-A549-Nt	NP_061895.3	TMX3	5	5	5.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	8.87	50.00	0.00
ORF7A-A549-Nt	NP_061913.3	ELP4	6	6	6.00	1	16|14|0	0.00	0.00	0.00	0.00	0.00	-47.56	0.40	0.54
ORF7A-A549-Nt	NP_061982.3	ALG1	2	2	2.00	1	0|0|0	0.97	0.97	0.97	0.97	0.97	3.59	20.00	0.00
ORF7A-A549-Nt	NP_061985.2	ABCA7	3	3	3.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	5.45	30.00	0.00
ORF7A-A549-Nt	NP_064505.1	UGGT1	11	11	11.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	18.33	110.00	0.00
ORF7A-A549-Nt	NP_064508.3	TM9SF3	6	6	6.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	10.50	60.00	0.00
ORF7A-A549-Nt	NP_064539.1	EMC7	32	32	32.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	49.33	320.00	0.00
ORF7A-A549-Nt	NP_064551.3	MCCC1	101	101	101.00	1	44|42|198	0.00	0.00	0.00	0.00	0.00	-279.81	0.83	0.54
ORF7A-A549-Nt	NP_064581.2	XAB2	82	82	82.00	1	115|117|0	0.00	0.00	0.00	0.00	0.00	-295.46	0.71	0.54
ORF7A-A549-Nt	NP_064583.2	CCDC47	70	70	70.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	103.82	700.00	0.00
ORF7A-A549-Nt	NP_064709.2	CIAPIN1	4	4	4.00	1	10|14|0	0.00	0.00	0.00	0.00	0.00	-39.91	0.33	0.54
