Bait	Prey	PreyGene	Spec	SpecSum	AvgSpec	NumReplicates	ctrlCounts	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	logOddsScore	FoldChange	BFDR
ORF7A-A549-Nt	NP_077269.3	RETREG2	9	9	9.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	15.25	90.00	0.00
ORF7A-A549-Nt	NP_077282.3	FA2H	7	7	7.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	12.11	70.00	0.00
ORF7A-A549-Nt	NP_078824.2	CEP97	4	4	4.00	1	25|18|0	0.00	0.00	0.00	0.00	0.00	-80.09	0.19	0.54
ORF7A-A549-Nt	NP_079010.2	CLMN	44	44	44.00	1	14|15|0	1.00	1.00	1.00	1.00	1.00	8.34	3.03	0.00
ORF7A-A549-Nt	NP_079157.3	SLC35E1	4	4	4.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	7.18	40.00	0.00
ORF7A-A549-Nt	NP_079172.2	ERMP1	16	16	16.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	25.86	160.00	0.00
ORF7A-A549-Nt	NP_079197.3	POF1B	4	4	4.00	1	19|18|0	0.00	0.00	0.00	0.00	0.00	-67.23	0.22	0.54
ORF7A-A549-Nt	NP_079219.1	TMEM156	9	9	9.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	15.24	90.00	0.00
ORF7A-A549-Nt	NP_079265.2	PGAP1	7	7	7.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	12.11	70.00	0.00
ORF7A-A549-Nt	NP_079330.2	VCPIP1	6	6	6.00	1	10|10|0	0.00	0.00	0.00	0.00	0.00	-27.66	0.60	0.54
ORF7A-A549-Nt	NP_079508.2	REEP4	14	14	14.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	22.88	140.00	0.00
ORF7A-A549-Nt	NP_085056.2	CYB5B	4	4	4.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	7.20	40.00	0.00
ORF7A-A549-Nt	NP_085125.1	CYP2S1	20	20	20.00	1	3|7|0	1.00	1.00	1.00	1.00	1.00	5.73	4.00	0.00
ORF7A-A549-Nt	NP_085153.1	LNPK	8	8	8.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	13.69	80.00	0.00
ORF7A-A549-Nt	NP_110382.3	TMX1	27	27	27.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	42.07	270.00	0.00
ORF7A-A549-Nt	NP_110395.1	ILKAP	3	3	3.00	1	10|12|0	0.00	0.00	0.00	0.00	0.00	-38.23	0.27	0.54
ORF7A-A549-Nt	NP_112092.1	APOL2	18	18	18.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	28.86	180.00	0.00
ORF7A-A549-Nt	NP_112200.2	VMP1	6	6	6.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	10.51	60.00	0.00
ORF7A-A549-Nt	NP_112589.1	CDCA3	11	11	11.00	1	0|2|0	1.00	1.00	1.00	1.00	1.00	5.66	11.00	0.00
ORF7A-A549-Nt	NP_114172.1	CCNB1	9	9	9.00	1	9|7|0	0.00	0.00	0.00	0.00	0.00	-15.60	1.12	0.35
ORF7A-A549-Nt	NP_114414.2	EIF2A	26	26	26.00	1	27|32|0	0.00	0.00	0.00	0.00	0.00	-66.90	0.88	0.51
ORF7A-A549-Nt	NP_115497.4	MAGT1	12	12	12.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	19.86	120.00	0.00
ORF7A-A549-Nt	NP_115599.2	PCNX3	4	4	4.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	7.18	40.00	0.00
ORF7A-A549-Nt	NP_115733.2	CCDC115	11	11	11.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	18.34	110.00	0.00
ORF7A-A549-Nt	NP_115744.2	LZIC	4	4	4.00	1	3|4|0	0.00	0.00	0.00	0.00	0.00	-7.03	1.14	0.22
ORF7A-A549-Nt	NP_116126.3	LMNB2	12	12	12.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	19.87	120.00	0.00
ORF7A-A549-Nt	NP_116185.2	SYAP1	67	67	67.00	1	21|30|0	0.09	0.09	0.09	0.09	0.09	-2.34	2.63	0.09
ORF7A-A549-Nt	NP_116199.2	ATAD1	6	6	6.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	10.50	60.00	0.00
ORF7A-A549-Nt	NP_116222.3	PPP1R15B	39	39	39.00	1	5|8|0	1.00	1.00	1.00	1.00	1.00	24.74	6.00	0.00
ORF7A-A549-Nt	NP_116231.2	TMEM209	11	11	11.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	18.33	110.00	0.00
ORF7A-A549-Nt	NP_149094.3	RHPN2	14	14	14.00	1	15|19|0	0.00	0.00	0.00	0.00	0.00	-40.27	0.82	0.47
ORF7A-A549-Nt	NP_149107.4	NEK9	5	5	5.00	1	17|16|0	0.00	0.00	0.00	0.00	0.00	-56.14	0.30	0.54
ORF7A-A549-Nt	NP_149351.1	SURF4	21	21	21.00	1	0|2|0	1.00	1.00	1.00	1.00	1.00	11.68	21.00	0.00
ORF7A-A549-Nt	NP_149977.2	LMF2	6	6	6.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	10.50	60.00	0.00
ORF7A-A549-Nt	NP_149989.2	CCDC102A	2	2	2.00	1	9|9|0	0.00	0.00	0.00	0.00	0.00	-32.44	0.22	0.54
ORF7A-A549-Nt	NP_203754.2	TNKS1BP1	7	7	7.00	1	76|73|0	0.00	0.00	0.00	0.00	0.00	-301.16	0.09	0.54
ORF7A-A549-Nt	NP_219482.1	ZNF622	5	5	5.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	8.86	50.00	0.00
ORF7A-A549-Nt	NP_444280.2	SNAP47	43	43	43.00	1	3|5|0	1.00	1.00	1.00	1.00	1.00	38.24	10.75	0.00
