Bait	Prey	PreyGene	Spec	SpecSum	AvgSpec	NumReplicates	ctrlCounts	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	logOddsScore	FoldChange	BFDR
ORF6-A549-Nt	NP_001159829.1	SHMT2	24	24	24.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	37.70	240.00	0.00
ORF6-A549-Nt	NP_001161143.1	LPP	5	5	5.00	1	27|30|0	0.00	0.00	0.00	0.00	0.00	-107.13	0.18	0.54
ORF6-A549-Nt	NP_001161328.1	SBNO1	10	10	10.00	1	60|42|0	0.00	0.00	0.00	0.00	0.00	-188.33	0.20	0.54
ORF6-A549-Nt	NP_001164108.1	SRGAP2	9	9	9.00	1	2|4|0	0.79	0.79	0.79	0.79	0.79	1.32	3.00	0.01
ORF6-A549-Nt	NP_065813.1	SRGAP1	4	4	4.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	7.18	40.00	0.00
ORF6-A549-Nt	NP_001164120.1	LAS1L	3	3	3.00	1	7|6|0	0.00	0.00	0.00	0.00	0.00	-19.82	0.46	0.54
ORF6-A549-Nt	NP_001164262.1	RMDN2	3	3	3.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	5.44	30.00	0.00
ORF6-A549-Nt	NP_060221.2	SMPD4	12	12	12.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	19.86	120.00	0.00
ORF6-A549-Nt	NP_001166094.1	NEO1	26	26	26.00	1	9|8|0	0.99	0.99	0.99	0.99	0.99	5.00	3.06	0.00
ORF6-A549-Nt	NP_001167552.1	NLRP2	19	19	19.00	1	34|32|0	0.00	0.00	0.00	0.00	0.00	-92.31	0.58	0.54
ORF6-A549-Nt	NP_001167630.1	SH2D4A	6	6	6.00	1	16|15|0	0.00	0.00	0.00	0.00	0.00	-49.56	0.39	0.54
ORF6-A549-Nt	NP_001171629.1	UGDH	9	9	9.00	1	9|12|0	0.00	0.00	0.00	0.00	0.00	-24.49	0.86	0.42
ORF6-A549-Nt	NP_006302.2	NCOR1	16	16	16.00	1	38|19|0	0.00	0.00	0.00	0.00	0.00	-79.74	0.56	0.54
ORF6-A549-Nt	NP_001180289.1	EXD2	14	14	14.00	1	2|3|0	1.00	1.00	1.00	1.00	1.00	8.34	5.60	0.00
ORF6-A549-Nt	NP_001180345.1	DDX3X	29	29	29.00	1	56|67|0	0.00	0.00	0.00	0.00	0.00	-185.01	0.47	0.54
ORF6-A549-Nt	NP_001116137.1	DDX3Y	26	26	26.00	1	48|55|0	0.00	0.00	0.00	0.00	0.00	-151.33	0.50	0.54
ORF6-A549-Nt	NP_004387.1	DDX5	13	13	13.00	1	29|38|0	0.00	0.00	0.00	0.00	0.00	-107.07	0.39	0.54
ORF6-A549-Nt	NP_001180442.1	SLC30A6	33	33	33.00	1	4|7|0	1.00	1.00	1.00	1.00	1.00	20.92	6.00	0.00
ORF6-A549-Nt	NP_001181875.1	EIF4G1	22	22	22.00	1	51|46|0	0.00	0.00	0.00	0.00	0.00	-147.85	0.45	0.54
ORF6-A549-Nt	NP_001181927.1	CEP152	8	8	8.00	1	14|11|0	0.00	0.00	0.00	0.00	0.00	-33.56	0.64	0.54
ORF6-A549-Nt	NP_001182484.1	CLINT1	49	49	49.00	1	37|41|0	0.00	0.00	0.00	0.00	0.00	-67.04	1.26	0.51
ORF6-A549-Nt	NP_001184222.1	DPYSL2	20	20	20.00	1	40|42|0	0.00	0.00	0.00	0.00	0.00	-121.96	0.49	0.54
ORF6-A549-Nt	NP_001014809.1	CRMP1	3	3	3.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	5.44	30.00	0.00
ORF6-A549-Nt	NP_001185845.1	PPFIBP1	7	7	7.00	1	18|13|0	0.00	0.00	0.00	0.00	0.00	-47.38	0.45	0.54
ORF6-A549-Nt	NP_001186064.1	TANK	10	10	10.00	1	13|16|0	0.00	0.00	0.00	0.00	0.00	-37.63	0.69	0.46
ORF6-A549-Nt	NP_001186170.1	KYNU	6	6	6.00	1	6|10|0	0.00	0.00	0.00	0.00	0.00	-20.08	0.75	0.39
ORF6-A549-Nt	NP_001186910.1	NDUFS1	32	32	32.00	1	3|2|0	1.00	1.00	1.00	1.00	1.00	30.83	12.80	0.00
ORF6-A549-Nt	NP_001188406.1	NETO2	6	6	6.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	10.50	60.00	0.00
