Bait	Prey	PreyGene	Spec	SpecSum	AvgSpec	NumReplicates	ctrlCounts	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	logOddsScore	FoldChange	BFDR
ORF9b-A549-Nt	Q9Y606	PUS1	2	2	2.00	1	0|0|0	0.97	0.97	0.97	0.97	0.97	3.60	20.00	0.00
ORF9b-A549-Nt	Q6ULP2	AFTPH	15	15	15.00	1	13|13|0	0.00	0.00	0.00	0.00	0.00	-24.58	1.15	0.42
ORF9b-A549-Nt	Q9NTJ3	SMC4	4	4	4.00	1	5|3|0	0.00	0.00	0.00	0.00	0.00	-8.79	1.00	0.25
ORF9b-A549-Nt	Q6WKZ4	RAB11FIP1	14	14	14.00	1	15|18|0	0.00	0.00	0.00	0.00	0.00	-38.46	0.85	0.47
ORF9b-A549-Nt	Q6N043	ZNF280D	6	6	6.00	1	5|0|0	0.32	0.32	0.31	0.31	0.32	-0.78	2.40	0.04
ORF9b-A549-Nt	P07355	ANXA2	73	73	73.00	1	62|75|0	0.00	0.00	0.00	0.00	0.00	-136.05	1.07	0.53
ORF9b-A549-Nt	Q96G01	BICD1	7	7	7.00	1	7|7|0	0.00	0.00	0.00	0.00	0.00	-15.02	1.00	0.35
ORF9b-A549-Nt	O14639	ABLIM1	10	10	10.00	1	5|9|0	0.00	0.00	0.00	0.00	0.00	-10.73	1.43	0.29
ORF9b-A549-Nt	Q9H6J7	C11orf49	10	10	10.00	1	3|5|0	0.36	0.36	0.36	0.36	0.36	-0.60	2.50	0.04
ORF9b-A549-Nt	Q96RN5	MED15	10	10	10.00	1	12|10|0	0.00	0.00	0.00	0.00	0.00	-24.74	0.91	0.42
ORF9b-A549-Nt	Q8IXS6	PALM2	4	4	4.00	1	6|2|0	0.00	0.00	0.00	0.00	0.00	-8.53	1.00	0.25
ORF9b-A549-Nt	O94972	TRIM37	2	2	2.00	1	0|0|0	0.97	0.97	0.97	0.97	0.97	3.60	20.00	0.00
ORF9b-A549-Nt	P14866	HNRNPL	6	6	6.00	1	4|5|0	0.00	0.00	0.00	0.00	0.00	-7.63	1.33	0.23
ORF9b-A549-Nt	P61160	ACTR2	2	2	2.00	1	0|0|0	0.97	0.97	0.97	0.97	0.97	3.59	20.00	0.00
ORF9b-A549-Nt	P49757	NUMB	15	15	15.00	1	5|8|0	0.09	0.09	0.09	0.09	0.09	-2.34	2.31	0.09
ORF9b-A549-Nt	Q96FZ2	HMCES	3	3	3.00	1	2|5|0	0.00	0.00	0.00	0.00	0.00	-8.48	0.86	0.24
ORF9b-A549-Nt	Q68EM7	ARHGAP17	6	6	6.00	1	7|10|0	0.00	0.00	0.00	0.00	0.00	-21.99	0.71	0.40
ORF9b-A549-Nt	Q9P2L0	WDR35	4	4	4.00	1	2|0|0	0.76	0.76	0.75	0.75	0.76	1.12	4.00	0.01
ORF9b-A549-Nt	Q96EI5	TCEAL4	4	4	4.00	1	0|6|0	0.01	0.01	0.01	0.01	0.01	-4.43	1.33	0.15
ORF9b-A549-Nt	Q9HB71	CACYBP	3	3	3.00	1	4|7|0	0.00	0.00	0.00	0.00	0.00	-15.88	0.55	0.54
ORF9b-A549-Nt	O75534	CSDE1	26	26	26.00	1	23|24|0	0.00	0.00	0.00	0.00	0.00	-45.62	1.11	0.48
ORF9b-A549-Nt	Q92734	TFG	11	11	11.00	1	4|6|0	0.07	0.07	0.07	0.07	0.07	-2.56	2.20	0.11
ORF9b-A549-Nt	Q6PUV4	CPLX2	10	10	10.00	1	7|12|0	0.00	0.00	0.00	0.00	0.00	-19.45	1.05	0.39
ORF9b-A549-Nt	Q8N5K1	CISD2	4	4	4.00	1	4|4|0	0.00	0.00	0.00	0.00	0.00	-8.80	1.00	0.25
ORF9b-A549-Nt	Q15019	SEPTIN2	9	9	9.00	1	7|12|0	0.00	0.00	0.00	0.00	0.00	-20.88	0.95	0.40
ORF9b-A549-Nt	Q8N8S7	ENAH	7	7	7.00	1	9|10|0	0.00	0.00	0.00	0.00	0.00	-24.04	0.74	0.41
ORF9b-A549-Nt	Q9UBB9	TFIP11	11	11	11.00	1	9|8|0	0.00	0.00	0.00	0.00	0.00	-14.53	1.29	0.34
ORF9b-A549-Nt	P17987	TCP1	4	4	4.00	1	2|3|0	0.03	0.03	0.03	0.03	0.03	-3.49	1.60	0.13
ORF9b-A549-Nt	Q14008	CKAP5	12	12	12.00	1	25|20|0	0.00	0.00	0.00	0.00	0.00	-64.88	0.53	0.54
ORF9b-A549-Nt	Q5HYK7	SH3D19	2	2	2.00	1	8|5|0	0.00	0.00	0.00	0.00	0.00	-22.03	0.31	0.54
ORF9b-A549-Nt	Q9UPN4	CEP131	2	2	2.00	1	0|0|0	0.97	0.97	0.97	0.97	0.97	3.59	20.00	0.00
ORF9b-A549-Nt	Q15942	ZYX	29	29	29.00	1	27|25|0	0.00	0.00	0.00	0.00	0.00	-50.07	1.12	0.49
ORF9b-A549-Nt	Q96SN8	CDK5RAP2	4	4	4.00	1	0|0|0	1.00	1.00	1.00	1.00	1.00	7.20	40.00	0.00
ORF9b-A549-Nt	Q9BT25	HAUS8	5	5	5.00	1	3|6|0	0.00	0.00	0.00	0.00	0.00	-9.09	1.11	0.26
ORF9b-A549-Nt	P08865	RPSA	9	9	9.00	1	2|5|0	0.42	0.42	0.43	0.43	0.43	-0.27	2.57	0.03
ORF9b-A549-Nt	P26368	U2AF2	6	6	6.00	1	4|0|0	0.60	0.60	0.61	0.61	0.61	0.43	3.00	0.02
ORF9b-A549-Nt	P08195	SLC3A2	28	28	28.00	1	19|24|0	0.00	0.00	0.00	0.00	0.00	-35.78	1.30	0.46
ORF9b-A549-Nt	Q1ED39	KNOP1	41	41	41.00	1	15|17|0	0.50	0.50	0.50	0.50	0.50	0.00	2.56	0.03
