Bait	Prey	PreyGene	Spec	SpecSum	AvgSpec	NumReplicates	ctrlCounts	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	logOddsScore	FoldChange	BFDR
ORF3B-A549-Nt	Q13501	SQSTM1	42|31	73	36.50	2	0|0|21|22	0.00	0.00	0.00	0.00	0.00	-31.66	1.70	0.39
ORF3B-A549-Nt	O95297	MPZL1	2|0	2	1.00	2	0|0|0|0	0.49	0.97	0.49	0.97	0.49	-1.05	10.00	0.11
ORF3B-A549-Nt	O60271	SPAG9	76|73	149	74.50	2	0|0|67|71	0.00	0.00	0.00	0.00	0.00	-137.90	1.08	0.53
ORF3B-A549-Nt	Q99650	OSMR	19|15	34	17.00	2	0|0|0|0	1.00	1.00	1.00	1.00	1.00	24.34	170.00	0.00
ORF3B-A549-Nt	P27105	STOM	8|8	16	8.00	2	0|0|0|2	0.98	0.98	0.98	0.98	0.98	3.77	8.00	0.00
ORF3B-A549-Nt	P62820	RAB1A	12|14	26	13.00	2	0|0|5|5	0.49	0.77	0.54	0.82	0.54	-1.03	2.60	0.11
ORF3B-A549-Nt	P61026	RAB10	11|10	21	10.50	2	3|0|9|10	0.00	0.00	0.00	0.00	0.00	-19.50	1.11	0.40
ORF3B-A549-Nt	Q15286	RAB35	6|3	9	4.50	2	0|0|2|4	0.04	0.08	0.04	0.07	0.04	-6.80	1.50	0.23
ORF3B-A549-Nt	Q9H0U4	RAB1B	9|8	17	8.50	2	0|0|0|0	1.00	1.00	1.00	1.00	1.00	13.77	85.00	0.00
ORF3B-A549-Nt	P17844	DDX5	17|15	32	16.00	2	0|0|34|40	0.00	0.00	0.00	0.00	0.00	-116.80	0.43	0.55
ORF3B-A549-Nt	P15924	DSP	62|0	62	31.00	2	21|3|10|9	0.50	1.00	0.50	1.00	0.50	-67.31	2.00	0.07
ORF3B-A549-Nt	O14641	DVL2	17|12	29	14.50	2	0|0|39|31	0.00	0.00	0.00	0.00	0.00	-115.53	0.41	0.55
ORF3B-A549-Nt	Q92997	DVL3	7|4	11	5.50	2	0|0|20|13	0.00	0.00	0.00	0.00	0.00	-58.68	0.33	0.55
ORF3B-A549-Nt	P29317	EPHA2	16|20	36	18.00	2	0|0|0|0	1.00	1.00	1.00	1.00	1.00	26.00	180.00	0.00
