Bait	Prey	PreyGene	Spec	SpecSum	AvgSpec	NumReplicates	ctrlCounts	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	logOddsScore	FoldChange	BFDR
ORF8-A549-Nt	Q2NKX8	ERCC6L	27|31	58	29.00	2	0|0|95|90	0.00	0.00	0.00	0.00	0.00	-317.90	0.31	0.55
ORF8-A549-Nt	Q9NXH8	TOR4A	3|4	7	3.50	2	0|0|0|0	1.00	1.00	1.00	1.00	1.00	5.33	35.00	0.00
ORF8-A549-Nt	Q5VV42	CDKAL1	12|16	28	14.00	2	0|0|0|0	1.00	1.00	1.00	1.00	1.00	19.74	140.00	0.00
ORF8-A549-Nt	Q96EA4	SPDL1	7|8	15	7.50	2	0|0|17|16	0.00	0.00	0.00	0.00	0.00	-51.54	0.45	0.55
ORF8-A549-Nt	Q8N5Y8	PARP16	4|2	6	3.00	2	0|0|0|0	0.99	1.00	0.98	1.00	0.99	3.49	30.00	0.00
ORF8-A549-Nt	O75400	PRPF40A	4|4	8	4.00	2	0|0|20|16	0.00	0.00	0.00	0.00	0.00	-65.20	0.22	0.55
ORF8-A549-Nt	Q6IAA8	LAMTOR1	7|6	13	6.50	2	0|0|5|7	0.00	0.00	0.00	0.00	0.00	-13.00	1.08	0.35
ORF8-A549-Nt	Q5VZ89	DENND4C	22|20	42	21.00	2	0|0|40|30	0.00	0.00	0.00	0.00	0.00	-98.22	0.60	0.52
ORF8-A549-Nt	Q96EY7	PTCD3	13|15	28	14.00	2	0|0|0|0	1.00	1.00	1.00	1.00	1.00	21.26	140.00	0.00
ORF8-A549-Nt	Q6P3W7	SCYL2	3|4	7	3.50	2	0|0|18|15	0.00	0.00	0.00	0.00	0.00	-61.68	0.21	0.55
ORF8-A549-Nt	Q9BRR8	GPATCH1	51|57	108	54.00	2	0|0|76|85	0.00	0.00	0.00	0.00	0.00	-215.97	0.67	0.54
ORF8-A549-Nt	Q96BY7	ATG2B	2|0	2	1.00	2	0|0|12|11	0.00	0.00	0.00	0.00	0.00	-50.21	0.09	0.55
ORF8-A549-Nt	Q9NSE4	IARS2	64|70	134	67.00	2	0|0|14|13	1.00	1.00	1.00	1.00	1.00	33.37	4.96	0.00
ORF8-A549-Nt	Q9NRZ9	HELLS	120|123	243	121.50	2	0|0|215|218	0.00	0.00	0.00	0.00	0.00	-613.73	0.56	0.55
ORF8-A549-Nt	Q96P70	IPO9	2|0	2	1.00	2	0|0|6|7	0.00	0.00	0.00	0.00	0.00	-27.97	0.15	0.55
ORF8-A549-Nt	P57088	TMEM33	3|0	3	1.50	2	0|0|0|0	0.50	1.00	0.50	1.00	0.50	-1.05	15.00	0.07
ORF8-A549-Nt	Q8N5G2	MACO1	4|5	9	4.50	2	0|0|0|0	1.00	1.00	1.00	1.00	1.00	7.07	45.00	0.00
ORF8-A549-Nt	Q8N6T3	ARFGAP1	5|5	10	5.00	2	0|0|19|18	0.00	0.00	0.00	0.00	0.00	-64.62	0.27	0.55
ORF8-A549-Nt	Q8WUM0	NUP133	3|4	7	3.50	2	0|0|9|8	0.00	0.00	0.00	0.00	0.00	-28.00	0.41	0.55
ORF8-A549-Nt	Q6ZV73	FGD6	41|39	80	40.00	2	0|0|27|27	0.00	0.00	0.00	0.00	0.00	-39.58	1.48	0.46
ORF8-A549-Nt	Q9H089	LSG1	20|17	37	18.50	2	0|0|6|8	0.56	0.91	0.55	0.91	0.56	-1.40	2.64	0.02
ORF8-A549-Nt	Q5T6F2	UBAP2	14|15	29	14.50	2	0|0|32|29	0.00	0.00	0.00	0.00	0.00	-92.77	0.48	0.55
ORF8-A549-Nt	Q9NZ45	CISD1	3|4	7	3.50	2	0|0|0|0	1.00	1.00	1.00	1.00	1.00	5.44	35.00	0.00
ORF8-A549-Nt	Q9NZ43	USE1	8|8	16	8.00	2	0|0|3|0	0.91	0.91	0.91	0.91	0.91	2.30	5.33	0.00
ORF8-A549-Nt	Q8IWB9	TEX2	3|3	6	3.00	2	0|0|0|3	0.26	0.26	0.24	0.24	0.26	-1.16	2.00	0.19
ORF8-A549-Nt	Q9BXB1	LGR4	9|7	16	8.00	2	0|0|0|0	1.00	1.00	1.00	1.00	1.00	12.32	80.00	0.00
ORF8-A549-Nt	Q96AG4	LRRC59	16|14	30	15.00	2	0|0|3|3	1.00	1.00	1.00	1.00	1.00	6.92	5.00	0.00
ORF8-A549-Nt	Q8WTW3	COG1	4|7	11	5.50	2	0|0|36|33	0.00	0.00	0.00	0.00	0.00	-136.54	0.16	0.55
ORF8-A549-Nt	Q96EB1	ELP4	4|4	8	4.00	2	0|0|19|16	0.00	0.00	0.00	0.00	0.00	-63.04	0.23	0.55
ORF8-A549-Nt	Q9H0W8	SMG9	4|3	7	3.50	2	0|0|12|11	0.00	0.00	0.00	0.00	0.00	-40.45	0.30	0.55
ORF8-A549-Nt	Q9NPA0	EMC7	6|6	12	6.00	2	0|0|0|0	1.00	1.00	1.00	1.00	1.00	10.42	60.00	0.00
ORF8-A549-Nt	Q96RQ3	MCCC1	350|362	712	356.00	2	245|170|159|146	0.00	0.00	0.00	0.00	0.00	-259.13	1.72	0.54
ORF8-A549-Nt	Q7Z589	EMSY	6|4	10	5.00	2	0|0|9|10	0.00	0.00	0.00	0.00	0.00	-29.83	0.53	0.44
ORF8-A549-Nt	Q9HCS7	XAB2	89|113	202	101.00	2	0|0|208|202	0.00	0.00	0.00	0.00	0.00	-633.60	0.49	0.55
ORF8-A549-Nt	Q8WW12	PCNP	4|4	8	4.00	2	0|0|9|13	0.00	0.00	0.00	0.00	0.00	-35.91	0.36	0.55
ORF8-A549-Nt	P57740	NUP107	9|7	16	8.00	2	0|0|19|20	0.00	0.00	0.00	0.00	0.00	-63.52	0.41	0.55
ORF8-A549-Nt	Q3KR37	GRAMD1B	4|2	6	3.00	2	0|0|0|0	0.99	1.00	0.98	1.00	0.99	3.49	30.00	0.00
ORF8-A549-Nt	A0FGR8	ESYT2	8|6	14	7.00	2	0|0|0|3	0.85	0.91	0.85	0.90	0.85	1.32	4.67	0.01
ORF8-A549-Nt	Q7Z417	NUFIP2	12|14	26	13.00	2	0|0|25|29	0.00	0.00	0.00	0.00	0.00	-83.00	0.48	0.51
ORF8-A549-Nt	Q96FJ0	STAMBPL1	10|7	17	8.50	2	0|0|30|24	0.00	0.00	0.00	0.00	0.00	-95.05	0.31	0.55
ORF8-A549-Nt	Q8IWB7	WDFY1	2|2	4	2.00	2	0|0|11|7	0.00	0.00	0.00	0.00	0.00	-32.52	0.22	0.55
ORF8-A549-Nt	Q9P270	SLAIN2	7|8	15	7.50	2	0|0|20|22	0.00	0.00	0.00	0.00	0.00	-69.98	0.36	0.55
ORF8-A549-Nt	Q8TCG1	CIP2A	7|11	18	9.00	2	0|0|34|28	0.00	0.00	0.00	0.00	0.00	-112.02	0.29	0.55
ORF8-A549-Nt	O00151	PDLIM1	5|6	11	5.50	2	0|0|28|21	0.00	0.00	0.00	0.00	0.00	-90.02	0.22	0.55
ORF8-A549-Nt	P13010	XRCC5	10|6	16	8.00	2	0|0|38|28	0.00	0.00	0.00	0.00	0.00	-123.47	0.24	0.55
ORF8-A549-Nt	Q14019	COTL1	6|2	8	4.00	2	0|0|3|3	0.04	0.08	0.04	0.07	0.04	-8.21	1.33	0.23
ORF8-A549-Nt	Q8N163	CCAR2	16|13	29	14.50	2	0|0|35|32	0.00	0.00	0.00	0.00	0.00	-107.21	0.43	0.55
ORF8-A549-Nt	Q9UNH7	SNX6	4|4	8	4.00	2	0|0|6|7	0.00	0.00	0.00	0.00	0.00	-17.98	0.62	0.39
ORF8-A549-Nt	Q9HBF4	ZFYVE1	3|5	8	4.00	2	0|0|21|20	0.00	0.00	0.00	0.00	0.00	-78.92	0.20	0.55
ORF8-A549-Nt	Q6NUQ1	RINT1	3|5	8	4.00	2	0|0|2|0	0.71	0.86	0.70	0.84	0.71	0.19	4.00	0.01
ORF8-A549-Nt	Q9UQR1	ZNF148	3|2	5	2.50	2	0|0|27|28	0.00	0.00	0.00	0.00	0.00	-113.02	0.09	0.55
ORF8-A549-Nt	Q96KC8	DNAJC1	7|6	13	6.50	2	0|0|0|0	1.00	1.00	1.00	1.00	1.00	10.45	65.00	0.00
